run,sen,spe,fn,fp,acc
sampling0_fold0,0.16666666666666666,1.0,0.8333333333333334,0.0,0.6511627906976745
sampling0_fold1,0.6111111111111112,0.96,0.3888888888888889,0.04,0.813953488372093
sampling1_fold0,0.4666666666666667,0.9642857142857143,0.5333333333333333,0.03571428571428571,0.7906976744186046
sampling1_fold1,0.38095238095238093,1.0,0.6190476190476191,0.0,0.6976744186046512
sampling2_fold0,0.5555555555555556,0.92,0.4444444444444444,0.08,0.7674418604651163
sampling2_fold1,0.0,1.0,1.0,0.0,0.5813953488372093
sampling3_fold0,0.47058823529411764,0.9230769230769231,0.5294117647058824,0.07692307692307693,0.7441860465116279
sampling3_fold1,0.15789473684210525,1.0,0.8421052631578947,0.0,0.627906976744186
sampling4_fold0,0.6111111111111112,1.0,0.3888888888888889,0.0,0.8372093023255814
sampling4_fold1,0.05555555555555555,1.0,0.9444444444444444,0.0,0.6046511627906976
sampling5_fold0,0.5789473684210527,0.9583333333333334,0.42105263157894735,0.041666666666666664,0.7906976744186046
sampling5_fold1,0.4117647058823529,0.9615384615384616,0.5882352941176471,0.038461538461538464,0.7441860465116279
sampling6_fold0,0.3076923076923077,0.9666666666666667,0.6923076923076923,0.03333333333333333,0.7674418604651163
sampling6_fold1,0.0,1.0,1.0,0.0,0.46511627906976744
sampling7_fold0,0.42857142857142855,1.0,0.5714285714285714,0.0,0.7209302325581395
sampling7_fold1,0.8,0.9285714285714286,0.2,0.07142857142857142,0.8837209302325582
sampling8_fold0,0.42857142857142855,1.0,0.5714285714285714,0.0,0.7209302325581395
sampling8_fold1,0.6,0.9285714285714286,0.4,0.07142857142857142,0.813953488372093
sampling9_fold0,0.5,1.0,0.5,0.0,0.8372093023255814
sampling9_fold1,0.0,1.0,1.0,0.0,0.4883720930232558
sampling10_fold0,0.5789473684210527,1.0,0.42105263157894735,0.0,0.813953488372093
sampling10_fold1,0.47058823529411764,0.9230769230769231,0.5294117647058824,0.07692307692307693,0.7441860465116279
sampling11_fold0,0.36363636363636365,1.0,0.6363636363636364,0.0,0.6744186046511628
sampling11_fold1,0.2857142857142857,0.9310344827586207,0.7142857142857143,0.06896551724137931,0.7209302325581395
sampling12_fold0,0.5625,0.9629629629629629,0.4375,0.037037037037037035,0.813953488372093
sampling12_fold1,0.45,1.0,0.55,0.0,0.7441860465116279
sampling13_fold0,1.0,0.0,0.0,1.0,0.4186046511627907
sampling13_fold1,0.05555555555555555,1.0,0.9444444444444444,0.0,0.6046511627906976
sampling14_fold0,0.0,1.0,1.0,0.0,0.627906976744186
sampling14_fold1,0.1,1.0,0.9,0.0,0.5813953488372093
sampling15_fold0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.6744186046511628
sampling15_fold1,0.9333333333333333,0.8928571428571429,0.06666666666666667,0.10714285714285714,0.9069767441860465
sampling16_fold0,0.5789473684210527,0.9583333333333334,0.42105263157894735,0.041666666666666664,0.7906976744186046
sampling16_fold1,0.47058823529411764,0.9615384615384616,0.5294117647058824,0.038461538461538464,0.7674418604651163
sampling17_fold0,0.05555555555555555,1.0,0.9444444444444444,0.0,0.6046511627906976
sampling17_fold1,0.5,0.96,0.5,0.04,0.7674418604651163
sampling18_fold0,0.4,1.0,0.6,0.0,0.7906976744186046
sampling18_fold1,0.5714285714285714,0.9545454545454546,0.42857142857142855,0.045454545454545456,0.7674418604651163
sampling19_fold0,0.5263157894736842,1.0,0.47368421052631576,0.0,0.7906976744186046
sampling19_fold1,0.4117647058823529,0.9615384615384616,0.5882352941176471,0.038461538461538464,0.7441860465116279
sampling20_fold0,0.45,1.0,0.55,0.0,0.7441860465116279
sampling20_fold1,0.625,0.9259259259259259,0.375,0.07407407407407407,0.813953488372093
sampling21_fold0,0.0,1.0,1.0,0.0,0.6046511627906976
sampling21_fold1,0.42105263157894735,0.9583333333333334,0.5789473684210527,0.041666666666666664,0.7209302325581395
sampling22_fold0,0.35,0.9565217391304348,0.65,0.043478260869565216,0.6744186046511628
sampling22_fold1,0.5,1.0,0.5,0.0,0.813953488372093
sampling23_fold0,0.10526315789473684,1.0,0.8947368421052632,0.0,0.6046511627906976
sampling23_fold1,0.47058823529411764,0.9615384615384616,0.5294117647058824,0.038461538461538464,0.7674418604651163
sampling24_fold0,0.4666666666666667,0.9642857142857143,0.5333333333333333,0.03571428571428571,0.7906976744186046
sampling24_fold1,0.2857142857142857,1.0,0.7142857142857143,0.0,0.6511627906976745
sampling25_fold0,0.047619047619047616,1.0,0.9523809523809523,0.0,0.5348837209302325
sampling25_fold1,0.6,0.9285714285714286,0.4,0.07142857142857142,0.813953488372093
sampling26_fold0,0.4117647058823529,1.0,0.5882352941176471,0.0,0.7674418604651163
sampling26_fold1,0.5789473684210527,0.9583333333333334,0.42105263157894735,0.041666666666666664,0.7906976744186046
sampling27_fold0,0.5789473684210527,0.9583333333333334,0.42105263157894735,0.041666666666666664,0.7906976744186046
sampling27_fold1,0.47058823529411764,0.9615384615384616,0.5294117647058824,0.038461538461538464,0.7674418604651163
sampling28_fold0,0.6470588235294118,0.9615384615384616,0.35294117647058826,0.038461538461538464,0.8372093023255814
sampling28_fold1,0.42105263157894735,0.9166666666666666,0.5789473684210527,0.08333333333333333,0.6976744186046512
sampling29_fold0,0.6153846153846154,0.9666666666666667,0.38461538461538464,0.03333333333333333,0.8604651162790697
sampling29_fold1,0.13043478260869565,1.0,0.8695652173913043,0.0,0.5348837209302325
sampling30_fold0,0.0,1.0,1.0,0.0,0.6046511627906976
sampling30_fold1,0.10526315789473684,1.0,0.8947368421052632,0.0,0.6046511627906976
sampling31_fold0,0.4444444444444444,0.96,0.5555555555555556,0.04,0.7441860465116279
sampling31_fold1,0.5555555555555556,1.0,0.4444444444444444,0.0,0.813953488372093
sampling32_fold0,0.42105263157894735,0.9583333333333334,0.5789473684210527,0.041666666666666664,0.7209302325581395
sampling32_fold1,0.11764705882352941,1.0,0.8823529411764706,0.0,0.6511627906976745
sampling33_fold0,0.0,1.0,1.0,0.0,0.5581395348837209
sampling33_fold1,0.7058823529411765,0.8846153846153846,0.29411764705882354,0.11538461538461539,0.813953488372093
sampling34_fold0,0.4444444444444444,0.96,0.5555555555555556,0.04,0.7441860465116279
sampling34_fold1,0.05555555555555555,1.0,0.9444444444444444,0.0,0.6046511627906976
sampling35_fold0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.8604651162790697
sampling35_fold1,0.3333333333333333,0.96,0.6666666666666666,0.04,0.6976744186046512
sampling36_fold0,0.47619047619047616,1.0,0.5238095238095238,0.0,0.7441860465116279
sampling36_fold1,0.06666666666666667,1.0,0.9333333333333333,0.0,0.6744186046511628
sampling37_fold0,0.55,0.9565217391304348,0.45,0.043478260869565216,0.7674418604651163
sampling37_fold1,0.375,1.0,0.625,0.0,0.7674418604651163
sampling38_fold0,0.5238095238095238,1.0,0.47619047619047616,0.0,0.7674418604651163
sampling38_fold1,0.7333333333333333,0.7857142857142857,0.26666666666666666,0.21428571428571427,0.7674418604651163
sampling39_fold0,0.2631578947368421,1.0,0.7368421052631579,0.0,0.6744186046511628
sampling39_fold1,0.5882352941176471,0.9615384615384616,0.4117647058823529,0.038461538461538464,0.813953488372093
sampling40_fold0,0.30434782608695654,1.0,0.6956521739130435,0.0,0.627906976744186
sampling40_fold1,0.7692307692307693,0.9666666666666667,0.23076923076923078,0.03333333333333333,0.9069767441860465
sampling41_fold0,0.391304347826087,0.95,0.6086956521739131,0.05,0.6511627906976745
sampling41_fold1,0.6153846153846154,1.0,0.38461538461538464,0.0,0.8837209302325582
sampling42_fold0,0.4375,0.9629629629629629,0.5625,0.037037037037037035,0.7674418604651163
sampling42_fold1,0.55,1.0,0.45,0.0,0.7906976744186046
sampling43_fold0,0.06666666666666667,1.0,0.9333333333333333,0.0,0.6744186046511628
sampling43_fold1,0.5238095238095238,0.9545454545454546,0.47619047619047616,0.045454545454545456,0.7441860465116279
sampling44_fold0,0.47058823529411764,0.9615384615384616,0.5294117647058824,0.038461538461538464,0.7674418604651163
