sampling0_fold0,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,,,
sampling0_fold1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,,,,,,
sampling1_fold0,0.0009,0.0009,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.0009,,,,,,
sampling1_fold1,0.0006,0.0005,0.0005,0.0006,0.0005,0.0006,0.0005,0.0005,0.0006,0.0005,0.0006,0.0006,0.0005,,,,,
sampling2_fold0,0.0012,0.0012,0.0012,0.0013,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0012,,,,,,,
sampling2_fold1,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0004,0.0005,0.0003,0.0004,0.0005,,,,
sampling3_fold0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,
sampling3_fold1,0.0042,0.0041,0.0042,0.0042,0.0042,0.0042,0.0041,0.0042,0.0042,0.0042,0.0044,0.0041,0.0044,,,,,
sampling4_fold0,0.0006,0.0006,0.0007,0.0006,0.0007,0.0006,0.0006,0.0006,0.0007,0.0005,,,,,,,,
sampling4_fold1,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0012,0.0011,0.0012,0.0011,0.0011,,,
sampling5_fold0,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002,,,,,,
sampling5_fold1,0.0006,0.0007,0.0006,0.0006,0.0006,0.0006,0.0007,0.0006,0.0007,0.0006,0.0006,0.0006,0.0007,,,,,
sampling6_fold0,0.0013,0.0013,0.0012,0.0014,0.0014,0.0012,0.0014,0.0013,0.0014,0.0014,0.0013,0.0013,0.0014,0.0016,,,,
sampling6_fold1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,
sampling7_fold0,0.0021,0.0021,0.0022,0.0021,0.0021,0.0021,0.002,0.0021,0.0022,0.0022,0.0021,,,,,,,
sampling7_fold1,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0008,0.0007,,,,
sampling8_fold0,0.001,0.001,0.001,0.0009,0.0009,0.001,0.0009,0.0009,0.001,0.001,0.001,,,,,,,
sampling8_fold1,0.0028,0.002,0.0021,0.002,0.002,0.0022,0.0021,0.0026,0.0022,0.0025,0.0021,0.0022,0.0021,0.0022,,,,
sampling9_fold0,0.0016,0.0016,0.0015,0.0016,0.0017,0.0017,0.0015,,,,,,,,,,,
