run,sen,spe,fn,fp,acc
sampling0_fold0,0.0,1.0,1.0,0.0,0.391304347826087
sampling0_fold1,0.8571428571428571,0.0,0.14285714285714285,1.0,0.2608695652173913
sampling1_fold0,0.875,0.3333333333333333,0.125,0.6666666666666666,0.5217391304347826
sampling1_fold1,0.07692307692307693,0.8,0.9230769230769231,0.2,0.391304347826087
sampling2_fold0,0.4,0.8461538461538461,0.6,0.15384615384615385,0.6521739130434783
sampling2_fold1,0.09090909090909091,0.9166666666666666,0.9090909090909091,0.08333333333333333,0.5217391304347826
sampling3_fold0,0.15384615384615385,1.0,0.8461538461538461,0.0,0.5217391304347826
sampling3_fold1,1.0,0.2,0.0,0.8,0.4782608695652174
sampling4_fold0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5652173913043478
sampling4_fold1,0.0,1.0,1.0,0.0,0.43478260869565216
sampling5_fold0,0.5,0.8181818181818182,0.5,0.18181818181818182,0.6521739130434783
sampling5_fold1,1.0,0.5,0.0,0.5,0.6956521739130435
sampling6_fold0,0.6666666666666666,0.7272727272727273,0.3333333333333333,0.2727272727272727,0.6956521739130435
sampling6_fold1,0.4444444444444444,0.8571428571428571,0.5555555555555556,0.14285714285714285,0.6956521739130435
sampling7_fold0,0.8181818181818182,0.8333333333333334,0.18181818181818182,0.16666666666666666,0.8260869565217391
sampling7_fold1,0.5,0.8461538461538461,0.5,0.15384615384615385,0.6956521739130435
sampling8_fold0,0.6363636363636364,0.5833333333333334,0.36363636363636365,0.4166666666666667,0.6086956521739131
sampling8_fold1,0.8,0.23076923076923078,0.2,0.7692307692307693,0.4782608695652174
sampling9_fold0,0.08333333333333333,0.9090909090909091,0.9166666666666666,0.09090909090909091,0.4782608695652174
sampling9_fold1,0.5555555555555556,0.5714285714285714,0.4444444444444444,0.42857142857142855,0.5652173913043478
sampling10_fold0,0.45454545454545453,0.5833333333333334,0.5454545454545454,0.4166666666666667,0.5217391304347826
sampling10_fold1,0.4,0.7692307692307693,0.6,0.23076923076923078,0.6086956521739131
sampling11_fold0,0.06666666666666667,1.0,0.9333333333333333,0.0,0.391304347826087
sampling11_fold1,1.0,0.0,0.0,1.0,0.2608695652173913
sampling12_fold0,0.23076923076923078,0.8,0.7692307692307693,0.2,0.4782608695652174
sampling12_fold1,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5652173913043478
sampling13_fold0,0.0,1.0,1.0,0.0,0.43478260869565216
sampling13_fold1,0.875,0.2,0.125,0.8,0.43478260869565216
sampling14_fold0,0.7777777777777778,0.6428571428571429,0.2222222222222222,0.35714285714285715,0.6956521739130435
sampling14_fold1,0.16666666666666666,1.0,0.8333333333333334,0.0,0.5652173913043478
sampling15_fold0,0.5,0.8181818181818182,0.5,0.18181818181818182,0.6521739130434783
sampling15_fold1,0.5555555555555556,0.42857142857142855,0.4444444444444444,0.5714285714285714,0.4782608695652174
sampling16_fold0,0.16666666666666666,0.9090909090909091,0.8333333333333334,0.09090909090909091,0.5217391304347826
sampling16_fold1,0.6666666666666666,0.6428571428571429,0.3333333333333333,0.35714285714285715,0.6521739130434783
sampling17_fold0,0.18181818181818182,0.8333333333333334,0.8181818181818182,0.16666666666666666,0.5217391304347826
