sampling0_fold0,0.5852,0.5573,0.5738,0.56,0.5757,0.5668,0.5824,0.5597,0.5731,0.5768,0.5539,0.5704,,,,,
sampling0_fold1,0.8456,0.8588,0.8313,0.8165,0.8511,0.8391,0.8383,0.8274,0.8273,,,,,,,,
sampling1_fold0,0.8461,0.8508,0.8442,0.8251,0.8289,0.835,0.8376,0.8454,0.8361,0.8374,0.8491,,,,,,
sampling1_fold1,0.8344,0.8677,0.8713,0.8694,0.8685,0.8719,0.8718,0.8662,0.8753,0.862,,,,,,,
sampling2_fold0,0.856,0.8637,0.8624,0.8599,0.8697,0.8589,0.8648,0.8583,0.8584,0.8647,0.8677,,,,,,
sampling2_fold1,0.6041,0.597,0.5546,0.5481,0.5888,0.5728,0.5369,0.5651,0.5665,0.6143,,,,,,,
sampling3_fold0,0.7284,0.7325,0.6988,0.7208,0.7051,0.7218,0.7216,0.7163,0.7257,0.7349,,,,,,,
sampling3_fold1,0.4482,0.4372,0.4314,0.4398,0.4357,0.442,0.4396,0.4383,0.4287,0.441,0.4274,,,,,,
sampling4_fold0,0.5043,0.4971,0.4946,0.5037,0.5049,0.4545,0.4915,0.4482,0.5246,,,,,,,,
sampling4_fold1,0.7989,0.8093,0.796,0.7873,0.802,0.7856,0.7902,0.8,0.7919,0.8109,0.7999,0.7849,,,,,
sampling5_fold0,0.9018,0.8961,0.8948,0.9071,0.9057,0.8832,0.895,0.9054,0.9032,0.8995,0.9016,,,,,,
sampling5_fold1,0.6428,0.6759,0.6676,0.6577,0.6547,0.6442,0.621,0.6333,0.671,0.668,,,,,,,
sampling6_fold0,0.8371,0.8222,0.8259,0.8379,0.8235,0.8352,0.8262,0.8425,0.8315,0.8168,0.8332,,,,,,
sampling6_fold1,0.7908,0.7876,0.7834,0.7942,0.8077,0.7333,0.7856,0.8068,0.7928,0.8029,,,,,,,
sampling7_fold0,0.4948,0.4377,0.4623,0.4926,0.489,0.4574,0.4402,0.4851,0.517,,,,,,,,
sampling7_fold1,0.8128,0.8059,0.8189,0.8043,0.8191,0.8242,0.8188,0.8098,0.8192,0.8133,0.8206,0.8116,,,,,
sampling8_fold0,0.6438,0.6379,0.6415,0.6203,0.6378,0.6188,0.6127,,,,,,,,,,
sampling8_fold1,0.9167,0.9195,0.9106,0.914,0.9176,0.9173,0.9164,0.9153,0.915,0.9196,0.9126,0.9159,0.912,0.9151,,,
