run,sen,spe,fn,fp,acc
sampling0_fold0,0.10526315789473684,1.0,0.8947368421052632,0.0,0.6046511627906976
sampling0_fold1,0.6470588235294118,0.9615384615384616,0.35294117647058826,0.038461538461538464,0.8372093023255814
sampling1_fold0,0.14285714285714285,1.0,0.8571428571428571,0.0,0.5813953488372093
sampling1_fold1,0.0,1.0,1.0,0.0,0.6511627906976745
sampling2_fold0,0.4166666666666667,0.9473684210526315,0.5833333333333334,0.05263157894736842,0.6511627906976745
sampling2_fold1,0.6666666666666666,1.0,0.3333333333333333,0.0,0.9069767441860465
sampling3_fold0,1.0,0.0,0.0,1.0,0.3488372093023256
sampling3_fold1,0.2857142857142857,1.0,0.7142857142857143,0.0,0.6511627906976745
sampling4_fold0,0.7333333333333333,0.9285714285714286,0.26666666666666666,0.07142857142857142,0.8604651162790697
sampling4_fold1,0.19047619047619047,1.0,0.8095238095238095,0.0,0.6046511627906976
sampling5_fold0,0.1,1.0,0.9,0.0,0.5813953488372093
sampling5_fold1,0.25,1.0,0.75,0.0,0.7209302325581395
sampling6_fold0,0.125,1.0,0.875,0.0,0.6744186046511628
sampling6_fold1,0.1,1.0,0.9,0.0,0.5813953488372093
sampling7_fold0,1.0,0.2,0.0,0.8,0.5348837209302325
sampling7_fold1,0.5555555555555556,0.96,0.4444444444444444,0.04,0.7906976744186046
sampling8_fold0,0.23529411764705882,1.0,0.7647058823529411,0.0,0.6976744186046512
sampling8_fold1,0.0,1.0,1.0,0.0,0.5581395348837209
sampling9_fold0,0.6,0.9565217391304348,0.4,0.043478260869565216,0.7906976744186046
sampling9_fold1,0.375,0.9629629629629629,0.625,0.037037037037037035,0.7441860465116279
sampling10_fold0,0.6190476190476191,1.0,0.38095238095238093,0.0,0.813953488372093
sampling10_fold1,0.3333333333333333,1.0,0.6666666666666666,0.0,0.7674418604651163
sampling11_fold0,1.0,0.0,0.0,1.0,0.32558139534883723
sampling11_fold1,0.4090909090909091,0.9523809523809523,0.5909090909090909,0.047619047619047616,0.6744186046511628
sampling12_fold0,0.5,0.9354838709677419,0.5,0.06451612903225806,0.813953488372093
sampling12_fold1,0.125,1.0,0.875,0.0,0.5116279069767442
sampling13_fold0,0.47619047619047616,1.0,0.5238095238095238,0.0,0.7441860465116279
sampling13_fold1,1.0,0.5,0.0,0.5,0.6744186046511628
sampling14_fold0,0.5,1.0,0.5,0.0,0.7674418604651163
sampling14_fold1,0.5625,0.9259259259259259,0.4375,0.07407407407407407,0.7906976744186046
sampling15_fold0,0.47058823529411764,0.9615384615384616,0.5294117647058824,0.038461538461538464,0.7674418604651163
sampling15_fold1,0.7368421052631579,0.875,0.2631578947368421,0.125,0.813953488372093
sampling16_fold0,0.5,0.8695652173913043,0.5,0.13043478260869565,0.6976744186046512
sampling16_fold1,0.125,1.0,0.875,0.0,0.6744186046511628
sampling17_fold0,0.0,1.0,1.0,0.0,0.5581395348837209
sampling17_fold1,0.47058823529411764,0.9230769230769231,0.5294117647058824,0.07692307692307693,0.7441860465116279
sampling18_fold0,0.5217391304347826,1.0,0.4782608695652174,0.0,0.7441860465116279
sampling18_fold1,0.46153846153846156,0.9666666666666667,0.5384615384615384,0.03333333333333333,0.813953488372093
sampling19_fold0,0.5,1.0,0.5,0.0,0.7906976744186046
sampling19_fold1,0.05555555555555555,1.0,0.9444444444444444,0.0,0.6046511627906976
sampling20_fold0,0.5,0.9565217391304348,0.5,0.043478260869565216,0.7441860465116279
sampling20_fold1,0.25,1.0,0.75,0.0,0.7209302325581395
sampling21_fold0,0.631578947368421,0.9166666666666666,0.3684210526315789,0.08333333333333333,0.7906976744186046
sampling21_fold1,0.058823529411764705,1.0,0.9411764705882353,0.0,0.627906976744186
sampling22_fold0,0.15789473684210525,1.0,0.8421052631578947,0.0,0.627906976744186
sampling22_fold1,0.7058823529411765,0.9615384615384616,0.29411764705882354,0.038461538461538464,0.8604651162790697
sampling23_fold0,0.05555555555555555,1.0,0.9444444444444444,0.0,0.6046511627906976
sampling23_fold1,0.5555555555555556,0.96,0.4444444444444444,0.04,0.7906976744186046
sampling24_fold0,0.16666666666666666,1.0,0.8333333333333334,0.0,0.6511627906976745
sampling24_fold1,0.2777777777777778,1.0,0.7222222222222222,0.0,0.6976744186046512
sampling25_fold0,0.5882352941176471,0.9230769230769231,0.4117647058823529,0.07692307692307693,0.7906976744186046
sampling25_fold1,0.05263157894736842,1.0,0.9473684210526315,0.0,0.5813953488372093
sampling26_fold0,0.0,1.0,1.0,0.0,0.5348837209302325
sampling26_fold1,0.0625,1.0,0.9375,0.0,0.6511627906976745
sampling27_fold0,0.5714285714285714,0.8620689655172413,0.42857142857142855,0.13793103448275862,0.7674418604651163
sampling27_fold1,0.09090909090909091,1.0,0.9090909090909091,0.0,0.5348837209302325
sampling28_fold0,0.4375,1.0,0.5625,0.0,0.7906976744186046
sampling28_fold1,0.05,1.0,0.95,0.0,0.5581395348837209
sampling29_fold0,0.42105263157894735,1.0,0.5789473684210527,0.0,0.7441860465116279
sampling29_fold1,0.6470588235294118,0.8846153846153846,0.35294117647058826,0.11538461538461539,0.7906976744186046
sampling30_fold0,0.5882352941176471,1.0,0.4117647058823529,0.0,0.8372093023255814
sampling30_fold1,0.3684210526315789,0.9583333333333334,0.631578947368421,0.041666666666666664,0.6976744186046512
sampling31_fold0,0.5,0.9259259259259259,0.5,0.07407407407407407,0.7674418604651163
sampling31_fold1,0.55,1.0,0.45,0.0,0.7906976744186046
